ProductID;ProductName;OrderDate;OrderVolume
782;Mountain-200 Black, 38;2013-06-30;209059.819060
782;Mountain-200 Black, 38;2013-07-31;196229.218467
772;Mountain-100 Silver, 42;2011-10-01;187679.448000
777;Mountain-100 Black, 44;2011-10-01;185019.651792
969;Touring-1000 Blue, 60;2013-06-30;183156.177750
782;Mountain-200 Black, 38;2013-09-30;180472.276125
771;Mountain-100 Silver, 38;2011-10-01;178839.474000
783;Mountain-200 Black, 42;2012-09-30;178271.540500
781;Mountain-200 Silver, 46;2012-06-30;169485.214184
773;Mountain-100 Silver, 44;2012-03-30;169319.502000
782;Mountain-200 Black, 38;2014-05-01;168911.264000
782;Mountain-200 Black, 38;2012-09-30;168435.869300
783;Mountain-200 Black, 42;2012-07-31;162365.416100
782;Mountain-200 Black, 38;2012-06-30;162288.574800
780;Mountain-200 Silver, 42;2012-06-30;161570.734000
772;Mountain-100 Silver, 42;2012-03-30;159119.532000
782;Mountain-200 Black, 38;2012-07-31;158016.616680
777;Mountain-100 Black, 44;2012-03-30;157949.532000
775;Mountain-100 Black, 38;2011-10-01;156776.385476
782;Mountain-200 Black, 38;2014-03-31;156426.518400
969;Touring-1000 Blue, 60;2013-10-30;156343.496088
778;Mountain-100 Black, 48;2011-10-01;155924.538000
957;Touring-1000 Yellow, 60;2014-05-01;155014.138656
776;Mountain-100 Black, 42;2011-07-01;153899.544000
969;Touring-1000 Blue, 60;2013-07-31;152580.480000
783;Mountain-200 Black, 42;2013-10-30;151469.340000
782;Mountain-200 Black, 38;2013-03-30;149993.985800
776;Mountain-100 Black, 42;2012-03-30;149849.556000
782;Mountain-200 Black, 38;2014-01-29;149753.605476
783;Mountain-200 Black, 42;2012-06-30;149584.166200
782;Mountain-200 Black, 38;2013-10-30;148256.354000
782;Mountain-200 Black, 38;2012-12-31;147535.068000
775;Mountain-100 Black, 38;2012-03-30;146544.765792
776;Mountain-100 Black, 42;2011-10-01;145869.767792
778;Mountain-100 Black, 48;2012-03-30;145799.568000
778;Mountain-100 Black, 48;2012-01-01;145799.568000
775;Mountain-100 Black, 38;2012-01-01;145799.568000
771;Mountain-100 Silver, 38;2012-03-30;144839.574000
771;Mountain-100 Silver, 38;2011-07-01;144839.574000
783;Mountain-200 Black, 42;2013-09-30;143207.376000
774;Mountain-100 Silver, 48;2011-10-01;141439.584000
976;Road-350-W Yellow, 48;2014-03-31;141182.170000
973;Road-350-W Yellow, 40;2013-06-30;141110.048024
783;Mountain-200 Black, 42;2014-05-01;140453.388000
780;Mountain-200 Silver, 42;2012-07-31;139722.227852
976;Road-350-W Yellow, 48;2013-06-30;139405.826143
779;Mountain-200 Silver, 38;2012-06-30;139199.401600
966;Touring-1000 Blue, 46;2013-06-30;138727.126044
954;Touring-1000 Yellow, 46;2013-10-30;137322.432000
789;Road-250 Red, 44;2012-09-30;136338.930000
775;Mountain-100 Black, 38;2011-07-01;136313.146108
783;Mountain-200 Black, 42;2013-03-30;136060.118300
779;Mountain-200 Silver, 38;2013-07-31;135462.360108
773;Mountain-100 Silver, 44;2011-10-01;134639.604000
976;Road-350-W Yellow, 48;2013-10-30;134591.173948
966;Touring-1000 Blue, 46;2014-05-01;134461.548000
790;Road-250 Red, 48;2012-06-30;133895.580000
781;Mountain-200 Silver, 46;2012-07-31;133813.710400
776;Mountain-100 Black, 42;2011-10-31;133649.604000
780;Mountain-200 Silver, 42;2013-06-30;132824.995476
772;Mountain-100 Silver, 42;2012-01-01;132599.610000
976;Road-350-W Yellow, 48;2013-09-30;132409.314075
781;Mountain-200 Silver, 46;2012-10-30;131785.376184
779;Mountain-200 Silver, 38;2012-07-31;131022.265252
780;Mountain-200 Silver, 42;2012-09-30;130499.439000
789;Road-250 Red, 44;2013-03-30;130474.890000
976;Road-350-W Yellow, 48;2013-07-31;130257.731824
789;Road-250 Red, 44;2012-06-30;129100.505625
954;Touring-1000 Yellow, 46;2014-03-31;128437.479924
976;Road-350-W Yellow, 48;2013-05-30;128002.219084
966;Touring-1000 Blue, 46;2013-07-31;127911.077268
957;Touring-1000 Yellow, 60;2014-01-29;127911.077268
775;Mountain-100 Black, 38;2011-10-31;127574.622000
782;Mountain-200 Black, 38;2012-10-30;127453.906000
969;Touring-1000 Blue, 60;2013-09-30;126832.524000
783;Mountain-200 Black, 42;2013-06-30;126769.510125
957;Touring-1000 Yellow, 60;2013-09-30;126480.635268
783;Mountain-200 Black, 42;2012-12-31;125922.000860
777;Mountain-100 Black, 44;2011-07-01;125549.628000
777;Mountain-100 Black, 44;2011-10-31;124874.630000
782;Mountain-200 Black, 38;2013-12-31;124847.456000
774;Mountain-100 Silver, 48;2012-03-30;124439.634000
780;Mountain-200 Silver, 42;2014-03-31;123666.602952
777;Mountain-100 Black, 44;2012-01-01;123524.634000
973;Road-350-W Yellow, 40;2014-03-31;123151.676000
966;Touring-1000 Blue, 46;2013-09-30;122894.755581
966;Touring-1000 Blue, 46;2013-10-30;122541.198000
773;Mountain-100 Silver, 44;2012-01-01;122399.640000
777;Mountain-100 Black, 44;2012-01-29;121499.640000
773;Mountain-100 Silver, 44;2011-10-31;121110.363792
771;Mountain-100 Silver, 38;2012-01-01;120359.646000
969;Touring-1000 Blue, 60;2014-01-29;120157.128000
784;Mountain-200 Black, 46;2013-07-31;119798.478000
969;Touring-1000 Blue, 60;2014-03-31;119680.314000
778;Mountain-100 Black, 48;2011-07-01;119474.646000
779;Mountain-200 Silver, 38;2014-05-01;119247.486000
783;Mountain-200 Black, 42;2013-07-31;118928.217792
957;Touring-1000 Yellow, 60;2014-03-31;117897.983268
776;Mountain-100 Black, 42;2012-01-01;117449.652000
957;Touring-1000 Yellow, 60;2013-10-30;117421.169268
780;Mountain-200 Silver, 42;2012-10-30;117219.981716
781;Mountain-200 Silver, 46;2013-06-30;117049.063476
782;Mountain-200 Black, 38;2013-04-30;116798.595500
775;Mountain-100 Black, 38;2012-01-29;115424.658000
776;Mountain-100 Black, 42;2012-01-29;115424.658000
753;Road-150 Red, 56;2012-03-30;115220.294000
793;Road-250 Black, 44;2012-06-30;115186.500000
779;Mountain-200 Silver, 38;2013-03-30;115170.933400
779;Mountain-200 Silver, 38;2013-06-30;115071.504000
969;Touring-1000 Blue, 60;2014-05-01;114435.360000
791;Road-250 Red, 52;2012-09-30;113860.110000
791;Road-250 Red, 52;2012-06-30;113860.110000
779;Mountain-200 Silver, 38;2012-09-30;113556.883184
778;Mountain-100 Black, 48;2011-10-31;113399.664000
773;Mountain-100 Silver, 44;2011-07-01;112950.387792
779;Mountain-200 Silver, 38;2014-03-31;112873.081476
772;Mountain-100 Silver, 42;2011-07-01;112735.508424
794;Road-250 Black, 48;2012-06-30;112568.625000
774;Mountain-100 Silver, 48;2011-10-31;112199.670000
954;Touring-1000 Yellow, 46;2014-05-01;112051.290000
783;Mountain-200 Black, 42;2012-10-30;111880.759900
781;Mountain-200 Silver, 46;2012-09-30;111856.662000
779;Mountain-200 Silver, 38;2013-09-30;111798.462108
976;Road-350-W Yellow, 48;2014-01-29;111563.341427
793;Road-250 Black, 44;2013-03-30;111259.687500
973;Road-350-W Yellow, 40;2013-05-30;110653.822074
973;Road-350-W Yellow, 40;2014-03-01;110476.408817
793;Road-250 Black, 44;2013-06-30;110439.420000
771;Mountain-100 Silver, 38;2012-01-29;110159.676000
973;Road-350-W Yellow, 40;2013-10-30;109921.035582
783;Mountain-200 Black, 42;2014-03-31;109361.781476
976;Road-350-W Yellow, 48;2014-05-01;109359.368684
790;Road-250 Red, 48;2012-12-31;108484.740000
973;Road-350-W Yellow, 40;2013-07-31;108204.056276
777;Mountain-100 Black, 44;2011-08-01;108176.529476
772;Mountain-100 Silver, 42;2012-01-29;108119.682000
973;Road-350-W Yellow, 40;2013-09-30;107162.370000
957;Touring-1000 Yellow, 60;2013-06-30;106806.336000
753;Road-150 Red, 56;2011-10-01;106632.446000
789;Road-250 Red, 44;2012-12-31;106530.060000
779;Mountain-200 Silver, 38;2013-12-31;106303.797792
771;Mountain-100 Silver, 38;2011-08-01;106079.688000
969;Touring-1000 Blue, 60;2013-12-31;105902.296656
954;Touring-1000 Yellow, 46;2014-01-29;105852.708000
782;Mountain-200 Black, 38;2013-02-28;105733.465400
790;Road-250 Red, 48;2013-03-30;105552.720000
784;Mountain-200 Black, 46;2012-07-31;105021.199560
779;Mountain-200 Silver, 38;2013-10-30;104863.548000
782;Mountain-200 Black, 38;2012-05-30;104094.186900
774;Mountain-100 Silver, 48;2012-01-01;104039.694000
957;Touring-1000 Yellow, 60;2013-08-30;103067.399019
784;Mountain-200 Black, 46;2013-10-30;102815.552000
793;Road-250 Black, 44;2012-12-31;102097.125000
783;Mountain-200 Black, 42;2013-12-31;102017.813476
789;Road-250 Red, 44;2012-05-30;101694.181680
795;Road-250 Black, 52;2013-03-30;101660.812500
784;Mountain-200 Black, 46;2012-06-30;101225.449500
976;Road-350-W Yellow, 48;2014-03-01;101038.806000
749;Road-150 Red, 62;2012-03-30;100907.214000
781;Mountain-200 Silver, 46;2013-03-30;100714.080984
781;Mountain-200 Silver, 46;2014-05-01;100687.566000
781;Mountain-200 Silver, 46;2013-07-31;100223.568000
783;Mountain-200 Black, 42;2013-08-30;100061.564000
783;Mountain-200 Black, 42;2012-05-30;100038.612520
772;Mountain-100 Silver, 42;2011-08-01;99959.706000
781;Mountain-200 Silver, 46;2013-09-30;99759.570000
976;Road-350-W Yellow, 48;2013-12-31;99678.014000
784;Mountain-200 Black, 46;2012-09-30;99586.170900
780;Mountain-200 Silver, 42;2013-12-31;99486.971175
779;Mountain-200 Silver, 38;2013-04-30;99428.144000
969;Touring-1000 Blue, 60;2014-03-01;99391.639893
775;Mountain-100 Black, 38;2011-08-01;99224.706000
790;Road-250 Red, 48;2012-09-30;99200.010000
783;Mountain-200 Black, 42;2013-04-30;99176.351300
973;Road-350-W Yellow, 40;2013-12-31;98997.618000
780;Mountain-200 Silver, 42;2013-10-30;98831.574000
780;Mountain-200 Silver, 42;2012-12-31;98599.576000
780;Mountain-200 Silver, 42;2013-07-31;98367.576000
794;Road-250 Black, 48;2013-03-30;98170.312500
793;Road-250 Black, 44;2012-09-30;98170.312500
771;Mountain-100 Silver, 38;2011-10-31;97919.712000
773;Mountain-100 Silver, 44;2011-08-01;97919.712000
789;Road-250 Red, 44;2012-07-31;97296.151680
966;Touring-1000 Blue, 46;2014-01-29;95362.800000
793;Road-250 Black, 44;2013-07-31;95290.650000
781;Mountain-200 Silver, 46;2014-03-31;95241.157476
784;Mountain-200 Black, 46;2013-06-30;95012.586000
784;Mountain-200 Black, 46;2014-05-01;94553.588000
794;Road-250 Black, 48;2012-09-30;94243.500000
781;Mountain-200 Silver, 46;2012-12-31;94042.452800
779;Mountain-200 Silver, 38;2012-12-31;94042.452800
973;Road-350-W Yellow, 40;2014-01-29;93303.383876
957;Touring-1000 Yellow, 60;2013-12-31;92978.730000
779;Mountain-200 Silver, 38;2013-02-28;92799.601000
781;Mountain-200 Silver, 46;2013-12-31;92701.232424
966;Touring-1000 Blue, 46;2013-12-31;92501.916000
783;Mountain-200 Black, 42;2014-01-29;92258.598000
779;Mountain-200 Silver, 38;2013-08-30;91871.604000
794;Road-250 Black, 48;2013-09-30;91869.960000
772;Mountain-100 Silver, 42;2011-10-31;91799.730000
793;Road-250 Black, 44;2012-07-31;91349.004002
784;Mountain-200 Black, 46;2013-12-31;91340.602000
779;Mountain-200 Silver, 38;2012-05-30;91251.007652
780;Mountain-200 Silver, 42;2013-03-30;91142.465200
779;Mountain-200 Silver, 38;2014-01-29;90943.608000
781;Mountain-200 Silver, 46;2013-10-30;90943.608000
790;Road-250 Red, 48;2012-05-30;90892.620000
784;Mountain-200 Black, 46;2014-03-31;90881.604000
780;Mountain-200 Silver, 42;2012-05-30;90313.897400
753;Road-150 Red, 56;2012-01-01;90172.404000
967;Touring-1000 Blue, 50;2013-06-30;90117.846000
773;Mountain-100 Silver, 44;2012-01-29;89759.736000
955;Touring-1000 Yellow, 50;2013-10-30;89641.032000
973;Road-350-W Yellow, 40;2013-08-30;89489.083900
794;Road-250 Black, 48;2013-06-30;89426.610000
784;Mountain-200 Black, 46;2012-05-30;89340.680100
782;Mountain-200 Black, 38;2013-01-28;89340.680100
794;Road-250 Black, 48;2012-12-31;88571.437500
784;Mountain-200 Black, 46;2012-12-31;88521.040800
779;Mountain-200 Silver, 38;2012-10-30;88242.477800
749;Road-150 Red, 62;2011-10-01;88025.442000
791;Road-250 Red, 52;2013-03-30;87960.600000
976;Road-350-W Yellow, 48;2013-11-30;87752.713308
779;Mountain-200 Silver, 38;2013-05-30;87133.256424
976;Road-350-W Yellow, 48;2013-08-30;87126.068592
778;Mountain-100 Black, 48;2011-08-01;87074.742000
795;Road-250 Black, 52;2012-09-30;86826.187500
793;Road-250 Black, 44;2012-05-30;86435.252088
782;Mountain-200 Black, 38;2013-08-30;86291.624000
793;Road-250 Black, 44;2013-12-31;86005.920000
782;Mountain-200 Black, 38;2014-03-01;85880.361792
780;Mountain-200 Silver, 42;2012-08-30;85756.774200
774;Mountain-100 Silver, 48;2012-01-29;85679.748000
782;Mountain-200 Black, 38;2013-05-30;85373.628000
753;Road-150 Red, 56;2011-07-01;85162.826000
794;Road-250 Black, 48;2013-12-31;85028.580000
781;Mountain-200 Silver, 46;2012-05-30;84513.922400
972;Touring-2000 Blue, 54;2013-06-30;84503.994120
955;Touring-1000 Yellow, 50;2014-05-01;84396.078000
783;Mountain-200 Black, 42;2013-05-30;83996.634000
966;Touring-1000 Blue, 46;2014-03-31;83919.264000
973;Road-350-W Yellow, 40;2014-05-01;83348.510000
